Participant,Mode,Route,GlobalTrial,NodeID,IsDecisionNode,EnterTime(s),LeaveTime(s),TimeSpentInNode(s)
P01,SoundOnly,T2,0,B,True,0.00,0.80,0.80
P01,SoundOnly,T2,0,A,True,1.56,3.00,1.44
P01,SoundOnly,T2,0,B,True,3.67,4.44,0.78
P01,SoundOnly,T2,0,C,True,5.20,5.79,0.58
P01,SoundOnly,T2,0,D,True,6.42,7.01,0.58
P01,SoundOnly,T3,1,L,True,0.01,1.44,1.43
P01,SoundOnly,T3,1,G,True,2.44,3.48,1.04
P01,SoundOnly,T3,1,J,True,4.59,5.17,0.58
P01,SoundOnly,T3,1,D,True,5.86,6.28,0.42
P01,SoundOnly,T1,2,K,True,0.01,1.65,1.64
P01,SoundOnly,T1,2,B,True,2.70,3.12,0.42
P01,SoundOnly,T4,3,F,True,0.02,1.08,1.06
P01,SoundOnly,T4,3,C,True,3.17,3.62,0.44
P01,SoundOnly,T4,3,B,True,4.39,4.86,0.47
P01,VisualOnly,T1,4,K,True,0.02,1.32,1.30
P01,VisualOnly,T1,4,B,True,2.42,2.86,0.44
P01,VisualOnly,T2,5,B,True,0.02,0.46,0.44
P01,VisualOnly,T2,5,A,True,1.08,1.80,0.72
P01,VisualOnly,T2,5,B,True,2.44,5.56,3.12
P01,VisualOnly,T2,5,C,True,6.32,6.90,0.58
P01,VisualOnly,T2,5,D,True,7.54,8.12,0.58
P01,VisualOnly,T4,6,F,True,0.02,1.60,1.58
P01,VisualOnly,T4,6,C,True,3.68,4.70,1.02
P01,VisualOnly,T4,6,B,True,5.46,6.36,0.90
P01,VisualOnly,T3,7,L,True,0.02,0.32,0.30
P01,VisualOnly,T3,7,G,True,2.14,2.72,0.58
P01,VisualOnly,T3,7,J,True,3.80,4.40,0.60
P01,VisualOnly,T3,7,D,True,5.04,5.52,0.48
P01,SoundAndVisual,T2,8,B,True,0.02,1.96,1.94
P01,SoundAndVisual,T2,8,C,True,2.72,3.32,0.60
P01,SoundAndVisual,T2,8,D,True,3.97,4.56,0.58
P01,SoundAndVisual,T3,9,L,True,0.02,1.32,1.30
P01,SoundAndVisual,T3,9,G,True,2.42,3.74,1.32
P01,SoundAndVisual,T3,9,F,True,4.60,5.02,0.42
P01,SoundAndVisual,T4,10,F,True,0.01,1.06,1.04
P01,SoundAndVisual,T4,10,C,True,3.15,3.53,0.38
P01,SoundAndVisual,T4,10,B,True,4.31,4.85,0.54
P01,SoundAndVisual,T1,11,K,True,0.02,1.48,1.46
P01,SoundAndVisual,T1,11,B,True,2.60,3.00,0.40
P01,SoundOnly,T2,0,B,True,0.00,1.94,1.94
P01,SoundOnly,T2,0,C,True,2.69,3.54,0.84
P01,SoundOnly,T2,0,D,True,4.33,4.96,0.62
P01,SoundOnly,T3,0,L,True,0.00,3.66,3.66
P01,SoundOnly,T3,0,G,True,5.26,6.50,1.24
P01,SoundOnly,T3,0,F,True,7.24,8.32,1.08
