Participant,Mode,Route,GlobalTrial,Time(s),DistanceWalked(m)
P01,SoundOnly,T2,0,8.49,107.46
P01,SoundOnly,T3,1,6.92,81.21
P01,SoundOnly,T1,2,3.74,36.83
P01,SoundOnly,T4,3,5.66,71.34
P01,VisualOnly,T1,4,3.44,37.40
P01,VisualOnly,T2,5,9.60,108.27
P01,VisualOnly,T4,6,6.96,70.78
P01,VisualOnly,T3,7,6.17,82.76
P01,SoundAndVisual,T2,8,6.04,66.37
P01,SoundAndVisual,T3,9,7.16,78.73
P01,SoundAndVisual,T4,10,5.88,70.77
P01,SoundAndVisual,T1,11,3.62,39.56
P01,SoundOnly,T2,0,15.48,108.21
P01,SoundOnly,T1,0,18.45,68.22
P01,SoundOnly,T3,1,11.07,76.08
P01,SoundOnly,T2,2,9.13,65.67
P01,SoundOnly,T3,0,20.83,211.83
P01,SoundOnly,T2,1,7.42,71.01
P01,SoundOnly,T2,0,8.96,65.80
P01,SoundOnly,T3,1,9.78,75.40
P01,SoundOnly,T1,2,4.77,37.13
P01,SoundOnly,T1,0,4.53,38.30
P01,SoundOnly,T3,1,8.12,74.12
P01,SoundOnly,T2,2,6.98,66.49
P01,SoundOnly,T4,3,7.58,71.30
P01,VisualOnly,T2,4,6.00,66.34
P01,VisualOnly,T4,5,8.72,64.33
P01,VisualOnly,T3,6,10.34,73.92
P01,VisualOnly,T1,7,4.32,38.66
P01,SoundAndVisual,T1,8,4.54,38.76
P01,SoundAndVisual,T3,9,9.53,89.28
P01,SoundAndVisual,T2,10,8.46,73.16
P01,SoundOnly,T3,0,9.12,73.94
P01,SoundOnly,T2,1,6.84,85.02
P01,SoundOnly,T1,2,3.88,37.66
P01,SoundOnly,T4,3,5.38,63.74
P01,VisualOnly,T2,4,7.42,75.16
P01,VisualOnly,T1,5,4.02,40.17
P01,VisualOnly,T4,6,7.32,63.46
P01,VisualOnly,T3,7,7.66,74.28
P01,SoundAndVisual,T3,8,7.82,71.62
P01,SoundAndVisual,T1,9,3.48,37.28
P01,SoundAndVisual,T4,10,5.00,63.13
P01,SoundAndVisual,T2,11,6.30,67.27
P01,SoundOnly,T4,0,25.18,69.47
P01,SoundOnly,T2,0,20.26,116.06
P01,SoundOnly,T1,1,4.87,40.34
P01,SoundAndVisual,T1,0,9.01,46.45
P01,SoundOnly,T1,0,23.55,39.27
P01,SoundOnly,T4,0,12.88,120.61
