Trial,Time(s),DistanceWalked(m)
1,23.01,200.70
2,15.34,173.88
3,15.09,183.54
4,15.90,175.07
5,7.64,94.05
1,73.78,580.88
1,23.82,145.51
2,16.25,167.87
3,24.72,203.78
1,21.35,162.63
2,22.54,229.75
3,3.61,36.97
1,42.34,284.02
1,49.98,407.09
2,13.59,145.88
3,14.61,160.19
4,9.23,95.66
5,19.07,196.15
1,25.98,101.93
1,12.69,101.12
2,18.94,184.94
3,15.92,147.84
4,30.62,308.97
1,20.87,185.89
2,10.76,117.62
3,26.03,289.02
1,17.33,185.87
1,9.82,93.74
2,12.84,130.65
3,10.60,108.16
4,17.76,188.34
0,16.71,164.74
1,11.49,132.84
2,24.69,276.70
3,24.86,255.64
4,8.02,91.79
0,1,17.31,94.08
